regla;familia;modo_ejecucion;paridad_sintetica;estado_paquete_real;paridad_postgis_cruda;paridad_0_0_81_cruda;paridad_postgis_operativa;paridad_0_0_81_operativa
Eco_01;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_02;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_03;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_04;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_05;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_06;economico;generated_plan_v1;True;ok;True;True;True;True
Eco_07;economico;generated_plan_v1;True;ok;True;True;True;True
Jur_01;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_02;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_03;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_04;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_05;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_06;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_07;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_08;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_09;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_10;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_11;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_12;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_13;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_14;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_15;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_16;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_17;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_18;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_19;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_20;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_21;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_22;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_23;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_24;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_25;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_26;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_27;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_28;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_29;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_30;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_31;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_32;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_33;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_34;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_35;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_36;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_37;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_38;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_39;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_40;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_41;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_42;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_43;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_44;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_45;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_46;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_47;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_48;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_49;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_50;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_51;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_52;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_53;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_54;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_55;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_56;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_57;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_58;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_59;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_60;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_61;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_62;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_63;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_64;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_65;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_66;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_67;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_68;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_69;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_70;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_71;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_72;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_73;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_74;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_75;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_76;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_77;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_78;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_79;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_80;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_81;juridico;generated_plan_v1;True;ok;True;True;True;True
Jur_82;juridico;generated_plan_v1;True;ok;True;True;True;True
PH_01;ph;generated_plan_v1;True;ok;True;True;True;True
PH_02;ph;generated_plan_v1;True;ok;True;True;True;True
PH_03;ph;generated_plan_v1;True;ok;True;True;True;True
PH_04;ph;generated_plan_v1;True;ok;True;True;True;True
